Question,Answer(s)
"[<div class=""qaDetailsContent"">
My lease has expired and before resigning the lease we wanted the roof to be repaired so we did not renew the lease until the roof was fixed now we are being sent eviction notices and the roof is still not fixed. After 3 months of trying to contact the management company we get them on the phone and they cursed at my wife and hung up the phone on her. PLEASE HELP.
</div>, <div class=""small-12 columns qaDetailsContent"">
If you have received an eviction notice, we recommend that you contact a lawyer to defend you. You may have a defense to the eviction. If you are in a rent stabilized apartment the landlord has the right to bring an eviction proceeding for failure to renew your lease. You may have the right to interpose a counterclaim for breach of warranty of habitability, due to the roof leak. I strongly suggest that you contact an attorney to defend you, inasmuch as your position on failure to renew the lease may not be accepted by the court.
You are probably obligated to pay a portion (at least) of rent regardless of the leak, unless you vacated due to the conditions.
Walter S. Jennings
</div>]","[<div class=""small-12 columns qaDetailsContent"">
If you have received an eviction notice, we recommend that you contact a lawyer to defend you. You may have a defense to the eviction. If you are in a rent stabilized apartment the landlord has the right to bring an eviction proceeding for failure to renew your lease. You may have the right to interpose a counterclaim for breach of warranty of habitability, due to the roof leak. I strongly suggest that you contact an attorney to defend you, inasmuch as your position on failure to renew the lease may not be accepted by the court.
You are probably obligated to pay a portion (at least) of rent regardless of the leak, unless you vacated due to the conditions.
Walter S. Jennings
</div>]"
"[<div class=""qaDetailsContent"">
Or, how likely is a NYC judge to rule in favor of the landlord for being 1 business day after stip date.
The stip was place in force 8 months ago, the business has been current ever since, they just cannot give certified funds until 1 business late. There are no penilties for late payment, just a lock out clause.
Can they lock out with out court approval? Seemingly so.
</div>, <div class=""small-12 columns qaDetailsContent"">
You should contact your landlord and see if you can get written agreement for the additional day you need. Otherwise, I can not answer the questions you asked because they are more complicated than they sound and I would need more information to give you sound advise. I suggest that if you are worried about a lockout and cant make the agreement with your landlord, seek legal advice before the fact, a lawyer can advise you more fully upon reviewing your documents and circumstances.
 
Walter S. Jennings
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You should contact your landlord and see if you can get written agreement for the additional day you need. Otherwise, I can not answer the questions you asked because they are more complicated than they sound and I would need more information to give you sound advise. I suggest that if you are worried about a lockout and cant make the agreement with your landlord, seek legal advice before the fact, a lawyer can advise you more fully upon reviewing your documents and circumstances.
 
Walter S. Jennings
</div>]"
"[<div class=""qaDetailsContent"">
N/A
</div>, <div class=""small-12 columns qaDetailsContent"">
I hope you have insurance to repair or replace the house in the event there is a fire loss.  Depending on where you are in the process of contracting with the buyer, the buyer may have a contract interest in such insurance proceeds.  If you have no insurance and there is a loss, and if the buyer has suffered a loss because of the absence of insurance, you may have a lawsuit by the buyer to contend with.  (The purchaser of real estate will usually have significant expenses in preparing for the closing -- such as the purchase of an appraisal, a survey, title services, etc - and even the payment to the prospective lender of servicing fees.  The process can be quite expensive.)
</div>]","[<div class=""small-12 columns qaDetailsContent"">
I hope you have insurance to repair or replace the house in the event there is a fire loss.  Depending on where you are in the process of contracting with the buyer, the buyer may have a contract interest in such insurance proceeds.  If you have no insurance and there is a loss, and if the buyer has suffered a loss because of the absence of insurance, you may have a lawsuit by the buyer to contend with.  (The purchaser of real estate will usually have significant expenses in preparing for the closing -- such as the purchase of an appraisal, a survey, title services, etc - and even the payment to the prospective lender of servicing fees.  The process can be quite expensive.)
</div>]"
"[<div class=""qaDetailsContent"">
N/A
</div>, <div class=""small-12 columns qaDetailsContent"">
You might have a claim for fraudulent representation. If the listing misrepresented the facts of the charachteristics of the property then you can seek recourse. You will need an attorney, and an estimate of the cost of removing the septic and connecting to the sewer. However, it would be important for your attorney to look at the contract of sale and any and all promotional documents/representations made to you prior to or on or about the time of the sale. I suggest that you get an estimate first and try to resolve this with the brokers both listing and selling, if unsuccessful go to an attorney. Communicate in writing and keep copies. Good luck.
 
Walter Jennings, Esq.
 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You might have a claim for fraudulent representation. If the listing misrepresented the facts of the charachteristics of the property then you can seek recourse. You will need an attorney, and an estimate of the cost of removing the septic and connecting to the sewer. However, it would be important for your attorney to look at the contract of sale and any and all promotional documents/representations made to you prior to or on or about the time of the sale. I suggest that you get an estimate first and try to resolve this with the brokers both listing and selling, if unsuccessful go to an attorney. Communicate in writing and keep copies. Good luck.
 
Walter Jennings, Esq.
 
</div>]"
"[<div class=""qaDetailsContent"">
I''m a condo owner in Nob Hill North, Ronkonkoma NY. The complex that has 2 condo associations, North and South. I reside on the north side. The South section has brought a lawsuit against the north section over common charges and voting rights last summer. They have gone into ligiation many times over the same issue. Settlements were made in the past. Since the lawsuit was issued last summer, sales for condos within the complex have been non-existent. I have spoken to realtors who are saying that it''s hard to sell these condos due to title issues from the lawsuit. Apparently mortgage companies are reluctant to give out loans, and FHA loans are not available (they were denied FHA designation because of the litigation). My condo has been on the market for almost 8 months. I was wondering if could I bring a lawsuit for lost equity and costs against the either of the associations? http://decisions.courts.state.ny.us/fcas/fcas_docs/2011oct/51001592220111sciv.pdf
</div>, <div class=""small-12 columns qaDetailsContent"">
 It's highly unlikely that you would be able to prevail in such a lawsuit. Clearly the warring factions of the condo have legitimate claims and cross claims. The mere fact that they are in litigation is not a defensible claim, regardless of the effect on the sales. You should seek a consultation from an attorney in your area that might have some other remedies for you.
 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
 It's highly unlikely that you would be able to prevail in such a lawsuit. Clearly the warring factions of the condo have legitimate claims and cross claims. The mere fact that they are in litigation is not a defensible claim, regardless of the effect on the sales. You should seek a consultation from an attorney in your area that might have some other remedies for you.
 
</div>]"
"[<div class=""qaDetailsContent"">
N/A
</div>, <div class=""small-12 columns qaDetailsContent"">
Yes, you can sue to have the lien removed.  But, you will lose.  Your recourse is to sue the person responsible.  If it is you, then forget it.  Your insurance should cover this cost however, so be sure you have made a claim there.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Yes, you can sue to have the lien removed.  But, you will lose.  Your recourse is to sue the person responsible.  If it is you, then forget it.  Your insurance should cover this cost however, so be sure you have made a claim there.
</div>]"
"[<div class=""qaDetailsContent"">
N/A
</div>, <div class=""small-12 columns qaDetailsContent"">
No.  Plus no landlord would admit to not giving it.  It is required though in NYC rent stabilized and rent controlled leases.  There you may have an argument.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
No.  Plus no landlord would admit to not giving it.  It is required though in NYC rent stabilized and rent controlled leases.  There you may have an argument.
</div>]"
"[<div class=""qaDetailsContent"">
My client bought a property by auction in 2009 in Brooklyn. The landlord ask judge to get the property back because of some procedure issue by lender lawyer. But the landlord fail to sell it''s property within the allowed time and the lender want to auction the property again. The lender has hold the original amount of sale price from the date of auction and never return to my client. The judge now is consider to let landlord to auction the property again, but my client may lost the property and did not get it''s fund back until the time of new auction, and my client has to pay it''s huge mortgage. My client want to stop the auction and get the property back, can anyone help us? Please contact me at gmc@311food.com.
</div>, <div class=""small-12 columns qaDetailsContent"">
You need to bring an Order to Show cause in Supreme Court.  This will be expensive, but if the value is there, it is your only option.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You need to bring an Order to Show cause in Supreme Court.  This will be expensive, but if the value is there, it is your only option.
</div>]"
"[<div class=""qaDetailsContent"">
Sir, I have bought an office from the honour and get the affidavit of it on my name and submitted to the muncipal authority to transfer it to my name, but unfortunately complete file was missplaced. During this time I sell this office to another person but I ask the first honour to give affidavit to buyer. Unfortnately the buyer is not giving me any response about my payment and he just want to transfer this office to his name in free. Please give me some legal advice about it how can I cancel his affidavit as still office is not on my name. Give us suitable answer of it.
</div>, <div class=""small-12 columns qaDetailsContent"">
I do not understand your question. You are using legal terms and colloquial terms in ways that make no sense.  If you can rephrase what you want, I might be able to help you.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
I do not understand your question. You are using legal terms and colloquial terms in ways that make no sense.  If you can rephrase what you want, I might be able to help you.
</div>]"
"[<div class=""qaDetailsContent"">
I have a coop and i am trying to refinance for a lower interest rate only. i submitted all paperwork and had the appraisal done. Everything was approved by the bank. The bank that I was initially approved by declined my application due to my management company withholding information (lying) on the application. Myself and my mortgage broker tried to rectify the issue with the management company but got the runaround until it was too late and the bank closed out my case.
</div>, <div class=""small-12 columns qaDetailsContent"">
You cannot sue the management company.  You have no relationship with them, and they are not obligated to assist you with a refinancing.  Unless you can prove that they intentionally sought to kill your application, you have no case.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You cannot sue the management company.  You have no relationship with them, and they are not obligated to assist you with a refinancing.  Unless you can prove that they intentionally sought to kill your application, you have no case.
</div>]"
"[<div class=""qaDetailsContent"">
Hello,
A few years back, my husband and I made the biggest mistake of our lives. During a trip to Aruba, we were roped into a timeshare scheme. Soon after purchasing, we realized what a shady deal this was. The company changed hands a few times, and all of the promises that were made (ie: Renovation on the property, Additions, ""Bonus"" weeks, ect...) were not fulfilled. We are looking for a legal way of getting out of this situation, and possibly even getting some of the money we put into this back. Are there any attorneys in the Buffalo, NY area that might be able to help with this?
Thank You,
Stephanie
</div>, <div class=""small-12 columns qaDetailsContent"">
Whether or not you have any action against the timeshare would be determined by the attorney's review of the timeshare contract in regard to the representations made pursuant to the contract. If there were fraudulent representations or breaches of its terms, you MAY have the right to void the contract. However, you will need to hire an attorney to review the contract as to its terms and conditions and any other selling brochures upon which you relied. A letter to the timeshare company might result in some agreement that you could find acceptable. Explain your grievances in the letter to them and keep copies!
You might also consider trying to re-sell your timeshare to mitigate your damages.
 
Walter Jennings, Esq.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Whether or not you have any action against the timeshare would be determined by the attorney's review of the timeshare contract in regard to the representations made pursuant to the contract. If there were fraudulent representations or breaches of its terms, you MAY have the right to void the contract. However, you will need to hire an attorney to review the contract as to its terms and conditions and any other selling brochures upon which you relied. A letter to the timeshare company might result in some agreement that you could find acceptable. Explain your grievances in the letter to them and keep copies!
You might also consider trying to re-sell your timeshare to mitigate your damages.
 
Walter Jennings, Esq.
</div>]"
"[<div class=""qaDetailsContent"">
I have purchased an apartment at a condo a few years ago and a parking space in the underground parking of the building. I have chosen that specific parking space because, being situated at a corner, it allows for very easy entry/exit of my car into the space.
A few weeks ago, and without warning me, the property management company of the condo has installed a docking stations for bicycles right in front of my parking space. I can still manage to park my car, but it takes longer as I can no longer access the space directly, needing instead to enter the space from the front requiring more complicated maneuvering.
The docking station is outside of the box that delimits my parking space, so technically it is a common area of the building. However, by being place adjacent to my parking space it does affect my ease of entry/exit into the space.
Can they legally do this or do I have a right to demand them to move the docking station?
Thanks
</div>, <div class=""small-12 columns qaDetailsContent"">
While it is unfortunate that this happened, common areas are controlled by the board and they can direct its usage, so long as it does not PREVENT egress and ingress. Perhaps they would be willing to give you an alternate space, which could be more convenient for you to access.
 
Walter Jennings, Esq.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
While it is unfortunate that this happened, common areas are controlled by the board and they can direct its usage, so long as it does not PREVENT egress and ingress. Perhaps they would be willing to give you an alternate space, which could be more convenient for you to access.
 
Walter Jennings, Esq.
</div>]"
"[<div class=""qaDetailsContent"">
N/A
</div>, <div class=""small-12 columns qaDetailsContent"">
Yes eviction is possible regardless of age. 
Walter Jennings, Esq.
Law Office of Walter Jennings P.C.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Yes eviction is possible regardless of age. 
Walter Jennings, Esq.
Law Office of Walter Jennings P.C.
</div>]"
"[<div class=""qaDetailsContent"">
My two brothers and I inherited my mom and dad''s home. He is co executor to the will with me and has been impossible to work with in selling the house. He currently lives there and refuses real estate agents to show the house. It has been two years of this refusal, first claiming that he wanted to buy the house and then when listed it refused to give the agency a key or not take any calls from the agency to show the home. What is the next step that I should do besides leaving him messages 3-4 times a week that he doesnot return. Can I have him evicted so that we can procede with the wishes of the will. My other brother agrees that we want this property sold and divided. My trouble is that my brother is living in a house that is now the property of the three of us, he''s living there free of paying any taxes, insurance water/sewer bills and is blocking the sale of the home by his refusal to allow it to be shown at the estates expense. HELP
</div>, <div class=""small-12 columns qaDetailsContent"">
I am a NY lawyer.  There are several strategies you can use.  If the property was left via  will to you and your siblings, you are correct to say that the three of you own it.  Any owner can bring a partition action as of right.  You as co-executor would have the right to commence this action.  A partition action results in the sale of the property by order. The downside of a partition is that it is sold like a foreclosure so you do not always get the highest price.  However, if your brother is seriously interested in buying it from the estate, this would force a settlement.  Another idea is bring a petition to compel sale of the property in the Surrogate's Court or, in turn, removal.  The Surrogate's Court will not give an order of eviction.  One thing you must be careful of is that if it appears that you can not serve together, some counties are fast to appoint the public administrator.  There are other strategies.  I would say that you should consult with a lawyer quickly.  As a co-executor, you have liabilities to your other brother.  For example, if the house were to burn down, the co-executors would be guilt of breach of fiduciary duty.  You should act quickly.
www.siegelandsiegel.com
Sharon M. Siegel, Esq.
212-721-5300
</div>, <div class=""small-12 columns qaDetailsContent"">
In my experience with this type of case you will need to get an attorney to help straighten things out. One of your first steps would be (as co-executor) to go back to the surrogates court and bring the issue to the court, who should be able to help you get some relief and arrange for the sale of the house or provide an adequate remedy for you under the circumstances of your case. Eviction might be a remedy that the court would give you among other things. You do have the right to sell the house, you will need help getting possession so you can show the house and sell it.
</div>]","[<div class=""small-12 columns qaDetailsContent"">
I am a NY lawyer.  There are several strategies you can use.  If the property was left via  will to you and your siblings, you are correct to say that the three of you own it.  Any owner can bring a partition action as of right.  You as co-executor would have the right to commence this action.  A partition action results in the sale of the property by order. The downside of a partition is that it is sold like a foreclosure so you do not always get the highest price.  However, if your brother is seriously interested in buying it from the estate, this would force a settlement.  Another idea is bring a petition to compel sale of the property in the Surrogate's Court or, in turn, removal.  The Surrogate's Court will not give an order of eviction.  One thing you must be careful of is that if it appears that you can not serve together, some counties are fast to appoint the public administrator.  There are other strategies.  I would say that you should consult with a lawyer quickly.  As a co-executor, you have liabilities to your other brother.  For example, if the house were to burn down, the co-executors would be guilt of breach of fiduciary duty.  You should act quickly.
www.siegelandsiegel.com
Sharon M. Siegel, Esq.
212-721-5300
</div>, <div class=""small-12 columns qaDetailsContent"">
In my experience with this type of case you will need to get an attorney to help straighten things out. One of your first steps would be (as co-executor) to go back to the surrogates court and bring the issue to the court, who should be able to help you get some relief and arrange for the sale of the house or provide an adequate remedy for you under the circumstances of your case. Eviction might be a remedy that the court would give you among other things. You do have the right to sell the house, you will need help getting possession so you can show the house and sell it.
</div>]"
"[<div class=""qaDetailsContent"">
Was purchasing a property that did not appraise, so I was denied the mortgage. I Did not think there was a problem, until my attorney informed me that he forgot to advise me that there was a mortgage contingency dead line date for me to receive the mortgage commitment and we had gone over that date and he did not file for an extention.
He never informed me at the time of my signing of the contract that there was any such clause in the contract. This is a new condo and the attorney for the seller is not willing to negotiate. I would have to pay an additioonal $51,000 over the appraised value in addition to the down payment. This property would not be worth it. How should I go about getting back my money???
</div>, <div class=""small-12 columns qaDetailsContent"">
You need a new attorney. The contracts will have to be reviewed.I would need more informaiton including copies of contracts to be able to tell you if there is a possibility to recover or resolve this issue. I suggues that you do not wait any longer and find out what your attorney is willing to do with regard to the fact that he did not inform you. Put everything in writing, and keep copies. Send a letter to your attorney and ask him how he is going to make your ""whole"" under these circumstances, do not let him drag it out. If he doesnt come up with a good solution for you then seek other counsel.
 
Walter Jennings, Esq.
Law Office of Walter Jennings P.C.
</div>, <div class=""small-12 columns qaDetailsContent"">
It sounds like you will have to litigate to get same returned. The problem is that your attorney may have committed 'malpractice', in failing to request and obtain an extension to for you to obtain a mortgage commitment. You may consider advising your attorney to notify his malpractice insurance company of this issue, in writing.
Gerry Wendrovsky, Esq.- Upper West Side Attorney
www.upperwestsidelawyer.com
 
 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You need a new attorney. The contracts will have to be reviewed.I would need more informaiton including copies of contracts to be able to tell you if there is a possibility to recover or resolve this issue. I suggues that you do not wait any longer and find out what your attorney is willing to do with regard to the fact that he did not inform you. Put everything in writing, and keep copies. Send a letter to your attorney and ask him how he is going to make your ""whole"" under these circumstances, do not let him drag it out. If he doesnt come up with a good solution for you then seek other counsel.
 
Walter Jennings, Esq.
Law Office of Walter Jennings P.C.
</div>, <div class=""small-12 columns qaDetailsContent"">
It sounds like you will have to litigate to get same returned. The problem is that your attorney may have committed 'malpractice', in failing to request and obtain an extension to for you to obtain a mortgage commitment. You may consider advising your attorney to notify his malpractice insurance company of this issue, in writing.
Gerry Wendrovsky, Esq.- Upper West Side Attorney
www.upperwestsidelawyer.com
 
 
</div>]"
"[<div class=""qaDetailsContent"">
Here is the issue now: We got certified attorney letter on Friday 18th, that if we do not finish all work by November 30th, they will take action without further notice to take back the condo from us! Yet they just approved all workers 2 weeks ago but still approving one more insurance paper since it was missing 4th additional insured!!!
They are either very arrogant to NOT realize they are the cause of all this delay or they are evil and in BAD FAITH, they are trying to do everything to take the condo away from us! My wife (with baby) has been hysterical crying for two days and her parents had to travel from far to take care of her¿ She may end up in hospital because she has been very nervous and now shivering ¿¿.this is all our investment and only source of income and its all loan money. Construction took us over a year due to bad contractor who stole and we have already had many sleepless nights!
Please email me your email for complete info since there is no room here!
</div>, <div class=""small-12 columns qaDetailsContent"">
I agree with Gerry, that you definitely need an attorney. You will need them to review the condo- bi-laws. Essentially the board would have to take you to court to reclaim the condo, to which you may have defenses. If it does go to court there is a good chance (based on what you have explained) that the matter could be resolved, between attorneys on your behalf, probably without loss of the condo. Keep all your documents organized, you will need proof.
Walter Jennings, Esq.
Law Office of Walter Jennings
</div>, <div class=""small-12 columns qaDetailsContent"">
Your inquiry requires a detailed consultation immediately with a qualified attorney. From experience, I can advise that many sponsors engage in questionable practices, and do not comply themselves with the plan documents(offering plan/by-laws), which does lead to litigation. You have certain rights that have to be 'fleshed out', and a strategy determined for your future dealings with the sponsor.
Gerry Wendrovsky, Esq.- Upper West Side Attorney
www.upperwestsidelawyer.com
 
 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
I agree with Gerry, that you definitely need an attorney. You will need them to review the condo- bi-laws. Essentially the board would have to take you to court to reclaim the condo, to which you may have defenses. If it does go to court there is a good chance (based on what you have explained) that the matter could be resolved, between attorneys on your behalf, probably without loss of the condo. Keep all your documents organized, you will need proof.
Walter Jennings, Esq.
Law Office of Walter Jennings
</div>, <div class=""small-12 columns qaDetailsContent"">
Your inquiry requires a detailed consultation immediately with a qualified attorney. From experience, I can advise that many sponsors engage in questionable practices, and do not comply themselves with the plan documents(offering plan/by-laws), which does lead to litigation. You have certain rights that have to be 'fleshed out', and a strategy determined for your future dealings with the sponsor.
Gerry Wendrovsky, Esq.- Upper West Side Attorney
www.upperwestsidelawyer.com
 
 
</div>]"
"[<div class=""qaDetailsContent"">
who can this be reported to
</div>, <div class=""small-12 columns qaDetailsContent"">
It sounds like you have a proposed stipulation of settlement, which you want so ordered by the court. Unless both parties execute the stipulation of settlement and submit it to the court to be so ordered, you do not have a deal. I would suggest seeking counsel, if you don't already have counsel to arrange a conference with the court in the hopes that the court can convince the other party to sign.
 
Walter S. Jennings, Esq.
Midtown Landlord/Tenant Attorney
www.lawofficeofwalterjennings.com
</div>]","[<div class=""small-12 columns qaDetailsContent"">
It sounds like you have a proposed stipulation of settlement, which you want so ordered by the court. Unless both parties execute the stipulation of settlement and submit it to the court to be so ordered, you do not have a deal. I would suggest seeking counsel, if you don't already have counsel to arrange a conference with the court in the hopes that the court can convince the other party to sign.
 
Walter S. Jennings, Esq.
Midtown Landlord/Tenant Attorney
www.lawofficeofwalterjennings.com
</div>]"
"[<div class=""qaDetailsContent"">
I''m in a stage of divorce. As per our agreement with my ex, coop apartment belongs to me where I reside with our two kids, 12 and 25, for more than 10 years. In order to put my papers in order, began to do refinancing but couldn''t finish since Board Coop didn''t sign the Recognition Agreement. My ex wants to be out of Certificate. It could be done only during refinancing. Moreover, our daughter''s name could be put instead of his. My daughter helps me to pay mortgage and maintenance, so coop management was provided with all mine and my daughter''s financial statements, accounts, everything they need in order to make a dicision to sell my ex''s shares to her.Since coop didn''t give us any respond, it looks impossible to finish refinancing. Can someone help me and let me know what''s my next step. Should I hire a real estate lawyer or no one have power to deal with Coop Board and speed up the process?
</div>, <div class=""small-12 columns qaDetailsContent"">
You need to speak to experienced counsel who can assist in this process- pressure will have to be put on the board to sign the recognition agreements. If the board refuses, you will have no alternative but to bring suit against the board. I don't think a judge will be too happy that a Board wastes the court's time, especially where the divorce requires the transfer.
Gerry Wendrovsky, Esq.Upper West Side Lawyer
www.upperwestsidelawyer.com
 
 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
You need to speak to experienced counsel who can assist in this process- pressure will have to be put on the board to sign the recognition agreements. If the board refuses, you will have no alternative but to bring suit against the board. I don't think a judge will be too happy that a Board wastes the court's time, especially where the divorce requires the transfer.
Gerry Wendrovsky, Esq.Upper West Side Lawyer
www.upperwestsidelawyer.com
 
 
</div>]"
"[<div class=""qaDetailsContent"">
A road was rerouted which cut across a corner of my property many years ago (before I owned it). Recently while looking over my deed and Abstract of Title I noticed no mention of the road. Shouldn''t this have been mentioned? No one seems to have an answer for me. I am more curious than overly concerned that a piece of my property may have been taken away from me as there is probably no recourse after so many years.
</div>, <div class=""small-12 columns qaDetailsContent"">
Check with the title company you used when you bought the property. They generally insure the description set forth in your deed and maybe responsible if they did not pick up the City easement for the road across your property. You will need a copy of your deed and the previous deed to compare the descriptions. It would also be helpful to check with the City to determine when they acquired an easement over the property and what transpired at that time.
</div>, <div class=""small-12 columns qaDetailsContent"">
Ordinarily a public road can be created by only one of three ways:  the owner conveying the necessary land to the county (if it is a county road); or by condemnation, or by public use for many years without the owner's objection.  If the road you refer to was conveyed to the county by deed, there should be a copy of the deed filed in the public office where deed records are maintained.  A more recent deed - such as yours - need not make reference to it, but the conveyance to you would be subject to the rights of the public anyway.
If the county condemned the property, again there would be a record of the condemnation action in the court having jurisdiction over such actions.  Copies, of course, should be recorded also in the office that maintains deed records so that title examiners would find the records.
If the road -- many years ago -- was slightly re-routed for some reason and simply cut across the corner of the property that later became yours, and this was done without the owner's consent, the owner had a right to object and demand payment for the land being applied to public use.  If he did not object, most states laws would recognize that, at some point, title to that portion used as a road became part of the public road system and thus ownership resided with the county.  This concept is generally known as adverse possession.  If it happened many years ago, it is very doubtful that you have any recourse.  You could retain the services of an attorney (or an abstract company if there is one in your area) to research the title for a fee and inform you of the specifics if there is a record somewhere of the transition of title from private to public with respect to the little parcel of land of concern.
 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
Check with the title company you used when you bought the property. They generally insure the description set forth in your deed and maybe responsible if they did not pick up the City easement for the road across your property. You will need a copy of your deed and the previous deed to compare the descriptions. It would also be helpful to check with the City to determine when they acquired an easement over the property and what transpired at that time.
</div>, <div class=""small-12 columns qaDetailsContent"">
Ordinarily a public road can be created by only one of three ways:  the owner conveying the necessary land to the county (if it is a county road); or by condemnation, or by public use for many years without the owner's objection.  If the road you refer to was conveyed to the county by deed, there should be a copy of the deed filed in the public office where deed records are maintained.  A more recent deed - such as yours - need not make reference to it, but the conveyance to you would be subject to the rights of the public anyway.
If the county condemned the property, again there would be a record of the condemnation action in the court having jurisdiction over such actions.  Copies, of course, should be recorded also in the office that maintains deed records so that title examiners would find the records.
If the road -- many years ago -- was slightly re-routed for some reason and simply cut across the corner of the property that later became yours, and this was done without the owner's consent, the owner had a right to object and demand payment for the land being applied to public use.  If he did not object, most states laws would recognize that, at some point, title to that portion used as a road became part of the public road system and thus ownership resided with the county.  This concept is generally known as adverse possession.  If it happened many years ago, it is very doubtful that you have any recourse.  You could retain the services of an attorney (or an abstract company if there is one in your area) to research the title for a fee and inform you of the specifics if there is a record somewhere of the transition of title from private to public with respect to the little parcel of land of concern.
 
</div>]"
"[<div class=""qaDetailsContent"">
Year 1 - we discovered there are sewer issues with the area (the city needs to flush the sewer system monthly to avoid filling homes with Methane gas. Year 2 (2010), there we was a Noreaster that cause our backyard and basement to flood. We had 3000+ gallons of water in the yard. Year 3 (2011), we were flooded with Hurricane Irene and Storm Lee (same 3000+ gallons of water). We also get flood issues with every heavy rain fall. We''ve purchased sump pumps to mitigate the issue as much as possible. Sadly, everyone on the block was aware of the issue except us. We also found an abandoned pipe in the backyard, which the prior owners were aware of. It leaks water and contributes to flooding issues. Prior to our purchase, apparently, the prior owner had an industrial size sump pump in the yard to deal with issues (he was a retired fire chief). Are they liable for not disclosing such an issue? Fire department has records of helping prior owners with flood issues(e.g. basement &amp; back
</div>, <div class=""small-12 columns qaDetailsContent"">
 
The law in NY is ""buyer beware.""  Whether or not you can recover damages depends on whether you performed a home inspection and, if you did, whether the former owner intentionally concealed any defects. If neither of the foregoing occurred, then you are probably out of luck.
In addition, it sounds like your home is situated in a high flood area. If you are indeed in a designated high flood area, then your title policy and/or mortgage commitment probably required you to purchase flood insurance, which may be your only avenue for recovery (i.e., by filing a claim). 
Jennifer Polovetsky, Esq.
Law Offices of Jennifer Polovetsky, Esq., PLLC , Lake Success, NY.                                                      
(Practice areas include Residential and Commercial Real Estate in the Metro NY area)
 
</div>]","[<div class=""small-12 columns qaDetailsContent"">
 
The law in NY is ""buyer beware.""  Whether or not you can recover damages depends on whether you performed a home inspection and, if you did, whether the former owner intentionally concealed any defects. If neither of the foregoing occurred, then you are probably out of luck.
In addition, it sounds like your home is situated in a high flood area. If you are indeed in a designated high flood area, then your title policy and/or mortgage commitment probably required you to purchase flood insurance, which may be your only avenue for recovery (i.e., by filing a claim). 
Jennifer Polovetsky, Esq.
Law Offices of Jennifer Polovetsky, Esq., PLLC , Lake Success, NY.                                                      
(Practice areas include Residential and Commercial Real Estate in the Metro NY area)
 
</div>]"
